State,Year,Deaths,Population,crudemort_rate,Mort_rate
Pennsylvania,2004,127640,12410722,1028.47,1.028465548
Rhode Island,2004,9769,1074579,909.1,0.909100215
South Carolina,2004,37276,4210921,885.22,0.885222022
South Dakota,2004,6833,770396,886.95,0.886946454
Tennessee,2004,55829,5910809,944.52,0.944523838
Texas,2004,152870,22394023,682.64,0.682637506
Utah,2004,13331,2401580,555.09,0.555092897
Vermont,2004,4995,619920,805.75,0.805749129
Virginia,2004,56550,7475575,756.46,0.75646355
Washington,2004,44770,6178645,724.59,0.724592528
West Virginia,2004,20793,1816438,1144.71,1.144712894
Wisconsin,2004,45600,5514026,826.98,0.826981955
Wyoming,2004,3955,509106,776.85,0.776851972
Alabama,2005,47090,4569805,1030.46,1.030459724
Alaska,2005,3168,666946,475,0.475000975
Arizona,2005,45827,5839077,784.83,0.784832945
Arkansas,2005,28055,2781097,1008.77,1.008774595
California,2005,237037,35827943,661.6,0.661598127
Colorado,2005,29627,4631888,639.63,0.639631183
Connecticut,2005,29467,3506956,840.24,0.84024436
Delaware,2005,7472,845150,884.1,0.884103414
District of Columbia,2005,5483,567136,966.79,0.966787508
Florida,2005,170791,17842038,957.24,0.957239302
Georgia,2005,66736,8925922,747.67,0.747665059
Hawaii,2005,9136,1292729,706.72,0.706721981
Idaho,2005,10556,1428241,739.09,0.739090952
Illinois,2005,103974,12609903,824.54,0.824542425
Indiana,2005,55675,6278616,886.74,0.886740008
Iowa,2005,27811,2964454,938.15,0.93814915
Kansas,2005,24682,2745299,899.06,0.899064182
Kentucky,2005,40223,4182742,961.64,0.961641909
Louisiana,2005,44355,4576628,969.16,0.969163323
Maine,2005,12868,1318787,975.75,0.975745135
Maryland,2005,43892,5592379,784.85,0.784853816
Massachusetts,2005,53874,6403290,841.35,0.841348744
Michigan,2005,86867,10051137,864.25,0.864250482
Minnesota,2005,37535,5119598,733.16,0.733163034
Mississippi,2005,29196,2905943,1004.7,1.004699679
Missouri,2005,54656,5790300,943.92,0.943923458
Montana,2005,8528,940102,907.14,0.907135609
Nebraska,2005,14963,1761497,849.45,0.849447941
Nevada,2005,19029,2432143,782.4,0.78239643
New Hampshire,2005,10194,1298492,785.06,0.785064521
New Jersey,2005,71963,8651974,831.75,0.831752384
New Mexico,2005,14983,1932274,775.41,0.775407629
New York,2005,152427,19132610,796.69,0.796686913
North Carolina,2005,74638,8705407,857.38,0.857375192
North Dakota,2005,5744,646089,889.04,0.889041603
Ohio,2005,109031,11463320,951.13,0.951129341
Oklahoma,2005,36180,3548597,1019.56,1.01955787
Oregon,2005,31091,3613202,860.48,0.860483305
Pennsylvania,2005,129532,12449990,1040.42,1.040418506
Rhode Island,2005,10007,1067916,937.06,0.93705872
South Carolina,2005,38707,4270150,906.46,0.906455277
South Dakota,2005,7086,775493,913.74,0.913741323
Tennessee,2005,57260,5991057,955.76,0.95575789
Texas,2005,156457,22778123,686.87,0.68687398
Utah,2005,13432,2457719,546.52,0.546523016
